
 --- Table  1: Summary of nuclide data: 

 Data for 139 nuclides included in calculation:

 - 139 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 3899 reaction channels
 - 1086 special reactions
 - No transmutation reactions
 - 16 transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - All reaction linked to target

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data

    1   0  1001.06c      06c  TRA    1   1 0    1.00782   600.0          N/A  I-----T-------------  hydrogen (H-1)
    2   0  3006.06c      06c  TRA    3   6 0    6.01507   873.0          N/A  I-----T-------------  lithium 6 (Li-6)
    3   0  3006.06c      06c  TRA    3   6 0    6.01507   889.7          N/A  I-----T-------------  lithium 6 (Li-6)
    4   0  3006.06c      06c  TRA    3   6 0    6.01507   898.0          N/A  I-----T-------------  lithium 6 (Li-6)
    5   0  3006.06c      06c  TRA    3   6 0    6.01507   906.3          N/A  I-----T-------------  lithium 6 (Li-6)
    6   0  3006.06c      06c  TRA    3   6 0    6.01507   914.6          N/A  I-----T-------------  lithium 6 (Li-6)
    7   0  3006.06c      06c  TRA    3   6 0    6.01507   923.0          N/A  I-----T-------------  lithium 6 (Li-6)
    8   0  3006.06c      06c  TRA    3   6 0    6.01507   931.3          N/A  I-----T-------------  lithium 6 (Li-6)
    9   0  3006.06c      06c  TRA    3   6 0    6.01507   939.6          N/A  I-----T-------------  lithium 6 (Li-6)
   10   0  3006.06c      06c  TRA    3   6 0    6.01507   948.0          N/A  I-----T-------------  lithium 6 (Li-6)
   11   0  3006.06c      06c  TRA    3   6 0    6.01507   956.3          N/A  I-----T-------------  lithium 6 (Li-6)
   12   0  3007.06c      06c  TRA    3   7 0    7.01600   873.0          N/A  I-----T-------------  lithium 7 (Li-7)
   13   0  3007.06c      06c  TRA    3   7 0    7.01600   889.7          N/A  I-----T-------------  lithium 7 (Li-7)
   14   0  3007.06c      06c  TRA    3   7 0    7.01600   898.0          N/A  I-----T-------------  lithium 7 (Li-7)
